"taxon_id","taxon_name","taxon_rank","input_name","input_author","match_type","match_accepted","wcvp_status","wcvp_name","accepted_name","final_name","name_changed"
"CYGR2","Cyperus grayi Torr.","species","Cyperus grayi","Torr.","Exact (with author)",TRUE,"Accepted","Cyperus grayi","Cyperus grayi Torr.","Cyperus grayi Torr.",FALSE
"LITEQ","Liatris tenuifolia Nutt. var. quadriflora Chapm.","variety","Liatris tenuifolia var. quadriflora","Nutt. Chapm.","Exact (without author)",TRUE,"Synonym","Liatris tenuifolia var. quadriflora","Liatris quadriflora (Chapm.) E.L.Bridges & Orzell","Liatris quadriflora (Chapm.) E.L.Bridges & Orzell",TRUE
"PARE3","Panicum repens L.","species","Panicum repens","L.","Exact (with author)",TRUE,"Accepted","Panicum repens","Panicum repens L.","Panicum repens L.",FALSE
"ANBR2","Andropogon brachystachyus Chapm.","species","Andropogon brachystachyus","Chapm.","Exact (with author)",TRUE,"Synonym","Andropogon brachystachyus","Anatherum brachystachyum (Chapm.) Roberty","Anatherum brachystachyum (Chapm.) Roberty",TRUE
"JUDI","Juncus dichotomus Elliott","species","Juncus dichotomus","Elliott","Exact (with author)",TRUE,"Accepted","Juncus dichotomus","Juncus dichotomus Elliott","Juncus dichotomus Elliott",FALSE
"PICI","Piriqueta cistoides (L.) Griseb.","species","Piriqueta cistoides","(L.) Griseb.","Exact (with author)",TRUE,"Accepted","Piriqueta cistoides","Piriqueta cistoides (L.) Griseb.","Piriqueta cistoides (L.) Griseb.",FALSE
"LYFR3","Lyonia fruticosa (Michx.) G.S. Torr.","species","Lyonia fruticosa","(Michx.) G.S. Torr.","Exact (without author)",TRUE,"Accepted","Lyonia fruticosa","Lyonia fruticosa (Michx.) G.S.Torr. ex B.L.Rob.","Lyonia fruticosa (Michx.) G.S.Torr. ex B.L.Rob.",TRUE
"BUBI","Burmannia biflora L.","species","Burmannia biflora","L.","Exact (with author)",TRUE,"Accepted","Burmannia biflora","Burmannia biflora L.","Burmannia biflora L.",FALSE
"CYLUL","Cyperus lupulinus (Spreng.) Marcks ssp. lupulinus","subspecies","Cyperus lupulinus subsp. lupulinus","(Spreng.) Marcks NA lupulinus","Exact (without author)",TRUE,"Accepted","Cyperus lupulinus subsp. lupulinus","Cyperus lupulinus subsp. lupulinus","Cyperus lupulinus subsp. lupulinus",TRUE
"XYBA","Xyris baldwiniana Schult.","species","Xyris baldwiniana","Schult.","Exact (with author)",TRUE,"Accepted","Xyris baldwiniana","Xyris baldwiniana Schult.","Xyris baldwiniana Schult.",FALSE
"UTPU","Utricularia purpurea Walter","species","Utricularia purpurea","Walter","Exact (with author)",TRUE,"Accepted","Utricularia purpurea","Utricularia purpurea Walter","Utricularia purpurea Walter",FALSE
"GYBR","Gymnopogon brevifolius Trin.","species","Gymnopogon brevifolius","Trin.","Exact (with author)",TRUE,"Accepted","Gymnopogon brevifolius","Gymnopogon brevifolius Trin.","Gymnopogon brevifolius Trin.",FALSE
"DRCA12","Drepanocladus capillifolius (Warnst.) Warnst.","species","Drepanocladus capillifolius","(Warnst.) Warnst.",NA,NA,NA,NA,NA,"Drepanocladus capillifolius (Warnst.) Warnst.",FALSE
"CYPL3","Cyperus plukenetii Fernald","species","Cyperus plukenetii","Fernald","Exact (with author)",TRUE,"Accepted","Cyperus plukenetii","Cyperus plukenetii Fernald","Cyperus plukenetii Fernald",FALSE
"PIELD","Pinus elliottii Engelm. var. densa Little & Dorman","variety","Pinus elliottii var. densa","Engelm. Little & Dorman","Exact (without author)",TRUE,"Accepted","Pinus elliottii var. densa","Pinus elliottii var. densa Little & K.W.Dorman","Pinus elliottii var. densa Little & K.W.Dorman",TRUE
"UTRE","Utricularia resupinata B.D. Greene ex Bigelow","species","Utricularia resupinata","B.D. Greene ex Bigelow","Exact (without author)",TRUE,"Accepted","Utricularia resupinata","Utricularia resupinata B.D.Greene ex Bigelow","Utricularia resupinata B.D.Greene ex Bigelow",TRUE
"BUCA3","Burmannia capitata (J.F. Gmel.) Mart.","species","Burmannia capitata","(J.F. Gmel.) Mart.","Exact (without author)",TRUE,"Accepted","Burmannia capitata","Burmannia capitata (Walter ex J.F.Gmel.) Mart.","Burmannia capitata (Walter ex J.F.Gmel.) Mart.",TRUE
"PEPA37","Persea palustris (Raf.) Sarg.","species","Persea palustris","(Raf.) Sarg.","Exact (with author)",TRUE,"Synonym","Persea palustris","Tamala palustris Raf.","Tamala palustris Raf.",TRUE
"SADI2","Sabatia difformis (L.) Druce","species","Sabatia difformis","(L.) Druce","Exact (with author)",TRUE,"Accepted","Sabatia difformis","Sabatia difformis (L.) Druce","Sabatia difformis (L.) Druce",FALSE
"GAFL3","Galactia floridana Torr. & A. Gray","species","Galactia floridana","Torr. & A. Gray","Exact (without author)",TRUE,"Accepted","Galactia floridana","Galactia floridana Torr. & A.Gray","Galactia floridana Torr. & A.Gray",TRUE
"CARO18","Callisia rosea (Vent.) D.R. Hunt","species","Callisia rosea","(Vent.) D.R. Hunt","Exact (without author)",TRUE,"Accepted","Callisia rosea","Callisia rosea (Vent.) D.R.Hunt","Callisia rosea (Vent.) D.R.Hunt",TRUE
"SAPA","Sabal palmetto (Walter) Lodd. ex Schult. & Schult. f.","species","Sabal palmetto","(Walter) Lodd. ex Schult. & Schult. f.","Exact (without author)",TRUE,"Accepted","Sabal palmetto","Sabal palmetto (Walter) Lodd. ex Schult. & Schult.f.","Sabal palmetto (Walter) Lodd. ex Schult. & Schult.f.",TRUE
"LAGR","Lactuca graminifolia Michx.","species","Lactuca graminifolia","Michx.","Exact (with author)",TRUE,"Accepted","Lactuca graminifolia","Lactuca graminifolia Michx.","Lactuca graminifolia Michx.",FALSE
"PICA7","Pinguicula caerulea Walter","species","Pinguicula caerulea","Walter","Exact (with author)",TRUE,"Accepted","Pinguicula caerulea","Pinguicula caerulea Walter","Pinguicula caerulea Walter",FALSE
"PHUR","Phyllanthus urinaria L.","species","Phyllanthus urinaria","L.","Exact (with author)",TRUE,"Accepted","Phyllanthus urinaria","Phyllanthus urinaria L.","Phyllanthus urinaria L.",FALSE
"SCPA5","Scleria pauciflora Muhl. ex Willd.","species","Scleria pauciflora","Muhl. ex Willd.","Exact (with author)",TRUE,"Accepted","Scleria pauciflora","Scleria pauciflora Muhl. ex Willd.","Scleria pauciflora Muhl. ex Willd.",FALSE
"POSE6","Polygonum setaceum Baldw.","species","Polygonum setaceum","Baldw.","Exact (without author)",TRUE,"Synonym","Polygonum setaceum","Persicaria setacea (Baldwin) Small","Persicaria setacea (Baldwin) Small",TRUE
"GANA","Gaylussacia nana (A. Gray) Small","species","Gaylussacia nana","(A. Gray) Small","Exact (without author)",TRUE,"Accepted","Gaylussacia nana","Gaylussacia nana (A.Gray) Small","Gaylussacia nana (A.Gray) Small",TRUE
"ASVE","Asclepias verticillata L.","species","Asclepias verticillata","L.","Exact (with author)",TRUE,"Accepted","Asclepias verticillata","Asclepias verticillata L.","Asclepias verticillata L.",FALSE
"PHAMR","Phytolacca americana L. var. rigida (Small) Caulkins & Wyatt","variety","Phytolacca americana var. rigida","L. (Small) Caulkins & Wyatt","Exact (without author)",TRUE,"Accepted","Phytolacca americana var. rigida","Phytolacca americana var. rigida (Small) D.B.Caulkins & R.E.Wyatt","Phytolacca americana var. rigida (Small) D.B.Caulkins & R.E.Wyatt",TRUE
"CYFI","Cyperus filicinus Vahl","species","Cyperus filicinus","Vahl","Exact (with author)",TRUE,"Accepted","Cyperus filicinus","Cyperus filicinus Vahl","Cyperus filicinus Vahl",FALSE
"JUSC","Juncus scirpoides Lam.","species","Juncus scirpoides","Lam.","Exact (with author)",TRUE,"Accepted","Juncus scirpoides","Juncus scirpoides Lam.","Juncus scirpoides Lam.",FALSE
"HECA4","Helianthemum carolinianum (Walter) Michx.","species","Helianthemum carolinianum","(Walter) Michx.","Exact (with author)",TRUE,"Synonym","Helianthemum carolinianum","Crocanthemum carolinianum (Walter) Spach","Crocanthemum carolinianum (Walter) Spach",TRUE
"BAHA","Baccharis halimifolia L.","species","Baccharis halimifolia","L.","Exact (with author)",TRUE,"Accepted","Baccharis halimifolia","Baccharis halimifolia L.","Baccharis halimifolia L.",FALSE
"JUBI","Juncus biflorus Elliott","species","Juncus biflorus","Elliott","Exact (with author)",TRUE,"Accepted","Juncus biflorus","Juncus biflorus Elliott","Juncus biflorus Elliott",FALSE
"KYOD","Kyllinga odorata Vahl","species","Kyllinga odorata","Vahl","Exact (with author)",TRUE,"Synonym","Kyllinga odorata","Cyperus sesquiflorus subsp. sesquiflorus","Cyperus sesquiflorus subsp. sesquiflorus",TRUE
"SCSCS3","Schizachyrium scoparium (Michx.) Nash var. stoloniferum (Nash) Wipff","variety","Schizachyrium scoparium var. stoloniferum","(Michx.) Nash (Nash) Wipff","Exact (without author)",TRUE,"Synonym","Schizachyrium scoparium var. stoloniferum","Andropogon stolonifer (Nash) Hitchc.","Andropogon stolonifer (Nash) Hitchc.",TRUE
"SYBA5","Symphyotrichum bahamense (Britton) G.L. Nesom","species","Symphyotrichum bahamense","(Britton) G.L. Nesom","Exact (without author)",TRUE,"Accepted","Symphyotrichum bahamense","Symphyotrichum bahamense (Britton) G.L.Nesom","Symphyotrichum bahamense (Britton) G.L.Nesom",TRUE
"CYHA","Cyperus haspan L.","species","Cyperus haspan","L.","Exact (with author)",TRUE,"Accepted","Cyperus haspan","Cyperus haspan L.","Cyperus haspan L.",FALSE
"LULI","Ludwigia linearis Walter","species","Ludwigia linearis","Walter","Exact (with author)",TRUE,"Accepted","Ludwigia linearis","Ludwigia linearis Walter","Ludwigia linearis Walter",FALSE
"SAST","Sacciolepis striata (L.) Nash","species","Sacciolepis striata","(L.) Nash","Exact (with author)",TRUE,"Accepted","Sacciolepis striata","Sacciolepis striata (L.) Nash","Sacciolepis striata (L.) Nash",FALSE
"ASFE4","Asclepias feayi Chapm. ex A. Gray","species","Asclepias feayi","Chapm. ex A. Gray","Exact (without author)",TRUE,"Accepted","Asclepias feayi","Asclepias feayi Chapm. ex A.Gray","Asclepias feayi Chapm. ex A.Gray",TRUE
"CYRER2","Cyperus retrorsus Chapm. var. retrorsus","variety","Cyperus retrorsus var. retrorsus","Chapm. NA retrorsus","Exact (without author)",TRUE,"Accepted","Cyperus retrorsus","Cyperus retrorsus Chapm.","Cyperus retrorsus Chapm.",TRUE
"HIME","Hieracium megacephalon Nash","species","Hieracium megacephalon","Nash","Exact (with author)",TRUE,"Accepted","Hieracium megacephalon","Hieracium megacephalon Nash","Hieracium megacephalon Nash",FALSE
"TIBA3","Tillandsia bartramii Elliott","species","Tillandsia bartramii","Elliott","Exact (with author)",TRUE,"Accepted","Tillandsia bartramii","Tillandsia bartramii Elliott","Tillandsia bartramii Elliott",FALSE
"PILU2","Pinguicula lutea Walter","species","Pinguicula lutea","Walter","Exact (with author)",TRUE,"Accepted","Pinguicula lutea","Pinguicula lutea Walter","Pinguicula lutea Walter",FALSE
"LYJA","Lygodium japonicum (Thunb.) Sw.","species","Lygodium japonicum","(Thunb.) Sw.","Exact (with author)",TRUE,"Accepted","Lygodium japonicum","Lygodium japonicum (Thunb.) Sw.","Lygodium japonicum (Thunb.) Sw.",FALSE
"ERVE","Erigeron vernus (L.) Torr. & A. Gray","species","Erigeron vernus","(L.) Torr. & A. Gray","Exact (without author)",TRUE,"Accepted","Erigeron vernus","Erigeron vernus (L.) Torr. & A.Gray","Erigeron vernus (L.) Torr. & A.Gray",TRUE
"LIGR8","Lindernia grandiflora Nutt.","species","Lindernia grandiflora","Nutt.","Exact (with author)",TRUE,"Accepted","Lindernia grandiflora","Lindernia grandiflora Nutt.","Lindernia grandiflora Nutt.",FALSE
"PLPO2","Pleopeltis polypodioides (L.) Andrews & Windham","species","Pleopeltis polypodioides","(L.) Andrews & Windham","Exact (without author)",TRUE,"Accepted","Pleopeltis polypodioides","Pleopeltis polypodioides (L.) E.G.Andrews & Windham","Pleopeltis polypodioides (L.) E.G.Andrews & Windham",TRUE
"DIVIV2","Diodia virginiana L. var. virginiana","variety","Diodia virginiana var. virginiana","L. NA virginiana","Exact (without author)",TRUE,"Accepted","Diodia virginiana","Diodia virginiana L.","Diodia virginiana L.",TRUE
"SPBA","Spartina bakeri Merr.","species","Spartina bakeri","Merr.","Exact (with author)",TRUE,"Synonym","Spartina bakeri","Sporobolus bakeri (Merr.) P.M.Peterson & Saarela","Sporobolus bakeri (Merr.) P.M.Peterson & Saarela",TRUE
"SOST","Solidago stricta Aiton","species","Solidago stricta","Aiton","Exact (with author)",TRUE,"Accepted","Solidago stricta","Solidago stricta Aiton","Solidago stricta Aiton",FALSE
"HYCU5","Hypoxis curtissii Rose","species","Hypoxis curtissii","Rose","Exact (with author)",TRUE,"Accepted","Hypoxis curtissii","Hypoxis curtissii Rose","Hypoxis curtissii Rose",FALSE
"NEON-TEMY","Tephrosia mysteriosa","species","Tephrosia mysteriosa",NA,"Exact (without author)",TRUE,"Accepted","Tephrosia mysteriosa","Tephrosia mysteriosa DeLaney","Tephrosia mysteriosa DeLaney",TRUE
"PALA10","Paspalum laeve Michx.","species","Paspalum laeve","Michx.","Exact (with author)",TRUE,"Accepted","Paspalum laeve","Paspalum laeve Michx.","Paspalum laeve Michx.",FALSE
"RHCU4","Rhexia cubensis Griseb.","species","Rhexia cubensis","Griseb.","Exact (with author)",TRUE,"Accepted","Rhexia cubensis","Rhexia cubensis Griseb.","Rhexia cubensis Griseb.",FALSE
